"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SOX41",0,1.00233421354935,0.703,0.383,0,"10","SOX4"
"MALAT11",0,1.00068934641028,1,0.993,0,"10","MALAT1"
"MT-CYB",0,0.992834365952323,0.992,0.917,0,"10","MT-CYB"
"MT-ATP6",0,0.989664270252082,0.979,0.865,0,"10","MT-ATP6"
"MAGED21",0,0.95380963481866,0.61,0.261,0,"10","MAGED2"
"MT-ND31",0,0.945163837164393,0.896,0.645,0,"10","MT-ND3"
"IGFBP21",0,0.896167718123093,0.426,0.061,0,"10","IGFBP2"
"HTRA1",0,0.80225449137675,0.384,0.065,0,"10","HTRA1"
"AMH1",0,0.788648412347405,0.394,0.063,0,"10","AMH"
"GPX32",0,0.778573702811951,0.464,0.139,0,"10","GPX3"
"VCAN1",0,0.773258483462863,0.4,0.045,0,"10","VCAN"
"SPRR2F1",0,0.705285087309075,0.338,0.064,0,"10","SPRR2F"
"TSPAN61",0,0.675923558229675,0.421,0.09,0,"10","TSPAN6"
"BAMBI1",0,0.568475287480972,0.386,0.106,0,"10","BAMBI"
"PRKAR2B1",0,0.566056512093173,0.375,0.053,0,"10","PRKAR2B"
"GRIK11",0,0.559841943352306,0.342,0.041,0,"10","GRIK1"
"NDP1",0,0.537739809772509,0.327,0.038,0,"10","NDP"
"NUP2141",0,0.516724835356873,0.322,0.045,0,"10","NUP214"
"TM7SF21",0,0.503622242557314,0.325,0.055,0,"10","TM7SF2"
"SPINT21",0,0.495309633845175,0.371,0.09,0,"10","SPINT2"
"BEX11",0,0.492189037217556,0.325,0.051,0,"10","BEX1"
"DSP1",0,0.473157207561903,0.324,0.042,0,"10","DSP"
"CDH21",0,0.438577630786786,0.289,0.037,0,"10","CDH2"
"FST1",0,0.41402509486653,0.263,0.029,0,"10","FST"
"HS6ST1",0,0.382647324378714,0.25,0.024,0,"10","HS6ST1"
"HSD17B12",0,0.379610614101663,0.273,0.052,0,"10","HSD17B1"
"TNNI31",0,0.372382343642193,0.309,0.065,0,"10","TNNI3"
"CCND21",3.02715924566329e-291,0.380369822810561,0.263,0.059,5.72677986094582e-287,"10","CCND2"
"YAP1",1.34187262327528e-286,0.338378649833157,0.269,0.063,2.53855462871218e-282,"10","YAP1"
"MT-ND23",2.39614842796706e-271,0.800727391152801,0.979,0.884,4.53303359602808e-267,"10","MT-ND2"
"PLA2G161",4.21099670679695e-255,0.519471774512826,0.428,0.155,7.96636356991846e-251,"10","PLA2G16"
"XIST1",9.0319948683338e-254,0.64043300319111,0.542,0.251,1.70867278919139e-249,"10","XIST"
"GSTA41",1.21726187707158e-241,0.403294435841444,0.322,0.096,2.30281601904401e-237,"10","GSTA4"
"GATM1",5.15303402593273e-239,0.40530939690779,0.347,0.107,9.74850977025954e-235,"10","GATM"
"RPS252",5.61401281422165e-236,0.758270377545598,0.994,0.949,1.06205894419445e-231,"10","RPS25"
"SMS1",1.05442935632526e-225,0.578312484454222,0.51,0.231,1.99476945629614e-221,"10","SMS"
"GTF2I",4.03146007746706e-225,0.356000265696188,0.313,0.097,7.62671617455218e-221,"10","GTF2I"
"ENAH",5.25203825184056e-214,0.393455083957344,0.323,0.105,9.93580596483197e-210,"10","ENAH"
"GREB1",8.96272441064788e-193,0.399111650583283,0.308,0.105,1.69556820400637e-188,"10","GREB1"
"GJA11",2.63349863110641e-183,0.484643815176855,0.365,0.142,4.9820527103271e-179,"10","GJA1"
"FAM198B",3.99929580879691e-182,0.362653414946045,0.316,0.112,7.56586781108199e-178,"10","FAM198B"
"ACSM3",1.14442245063256e-180,0.410811644246845,0.358,0.137,2.16501839210668e-176,"10","ACSM3"
"MT-ND13",1.60319930074464e-175,0.617594639243065,0.88,0.687,3.0329324371487e-171,"10","MT-ND1"
"HS3ST11",1.84484814952998e-175,0.316004127842217,0.283,0.094,3.49008372928082e-171,"10","HS3ST1"
"TMSB4X4",2.98038665070287e-170,0.603266709087716,0.999,0.985,5.6382954657997e-166,"10","TMSB4X"
"MARCKS1",9.20845365900997e-166,0.417840732325141,0.374,0.155,1.74205526321151e-161,"10","MARCKS"
"LY6E2",3.41749994584671e-158,0.571639851744402,0.554,0.316,6.4652263975528e-154,"10","LY6E"
"ATPIF11",1.32279733015528e-147,0.440523511603579,0.426,0.199,2.50246798918776e-143,"10","ATPIF1"
